age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
18;М;Гетеросексуал;Среднее полное;Город с населением от 250 до 500 тысяч человек;Не женаты/не замужем;Да;нет;23;39;21;4;2;102;14;16;14;12;14;21;11;16;14;7;1;4;4;4;21;22;14;18;0;.000;0;.000;8;7;12;10;5;10;8;13;8;6;12;9;5;11;9;12
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;21;49;15;6;0;134;17;15;21;21;21;18;21;30;15;7;1;1;1;1;35;35;11;27;1;relationship;0;work;6;7;6;6;0;3;6;6;6;6;3;0;0;6;6;9
18;М;Гетеросексуал;Неоконченное высшее;Город с населением от 250 до 500 тысяч человек;Не женаты/не замужем;Нет;нет;21;30;33;2;7;85;11;17;8;14;17;10;8;16;24;5;4;5;5;4;10;17;24;24;0;betrayal;0;danger;9;9;13;11;8;13;11;13;8;9;12;10;5;14;10;11
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;22;25;18;3;3;43;4;4;12;7;6;4;6;1;11;3;6;3;2;1;19;20;9;7;1;betrayal;1;interpersonal;7;14;12;12;3;15;8;12;5;10;12;15;4;14;5;9
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Нет;нет;12;33;45;5;4;45;3;8;12;10;3;6;3;8;18;4;7;7;7;5;35;12;22;15;1;stereotype;1;stereotype;9;9;17;8;11;14;17;15;12;14;16;7;3;8;18;15
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 250 до 500 тысяч человек;Не женаты/не замужем;Нет;нет;24;36;34;7;2;45;6;8;10;7;6;3;5;6;12;4;5;2;4;4;25;13;20;19;1;betrayal;1;interpersonal;17;11;16;15;10;19;12;15;9;11;12;7;6;12;9;11
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;20;36;25;0;0;54;4;3;13;11;7;6;10;4;16;3;7;3;3;2;16;20;12;15;1;stereotype;0;body;3;16;15;7;3;13;16;4;10;13;17;7;3;6;12;9
19;М;Гетеросексуал;Неоконченное высшее;Город с населением менее 100 тысяч человек;Не женаты/не замужем;Нет;нет;15;24;32;6;0;68;4;3;10;12;5;18;16;7;6;5;7;4;4;7;17;13;10;15;0;work;1;army;10;14;15;16;0;12;14;6;6;15;20;14;4;10;15;8
18;М;Гетеросексуал;Неоконченное высшее;Город с населением от 500 тысяч до 1 млн человек;Не женаты/не замужем;Нет;нет;29;28;12;0;8;76;13;7;15;12;10;3;16;11;2;5;4;3;3;4;17;9;8;20;0;.000;0;army;4;8;7;7;2;6;11;8;7;8;6;6;7;11;11;8
18;Ж;Гетеросексуал;Среднее полное;Поселок городского типа/деревня;Не женаты/не замужем;Нет;нет;20;27;34;7;0;75;9;10;9;14;13;9;11;15;22;5;6;1;6;6;27;22;15;24;0;relationship;1;sport;7;12;9;13;5;18;12;17;9;13;15;17;5;12;13;15
